Cidade;Estado;ClassIVS;GHI;ClassIDHM;Portemun;Densdemogcateg;Arborizacao;Urbanizacao;Lugarcaminha;Corpele;Sexomasc;Sexofem;Nacionalidade;Estcivil;Casavive;Estudo;Sitprof;Rendaagrup;Idade;Fuma;Bebe;Classaf;Obesfamilia;Restquilo;Restalacarte;Restselfservice;Restgrandefastfood;Restpequenofastfood;Bar;Padaria;Cafes;RestUniversitario;Emcasa;Desfechos
20;30;2;2149;3;4;5;56.6;55.4;1;2;1;0;2;1;4;4;4;3;44;0;0;3;0;1;1;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;5;1;1;0;25;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;4;1;1;2;27;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;0;1;0;1;2;1;2;3;4;2;31;0;1;2;0;1;0;1;1;0;1;1;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;2;1;4;2;28;0;0;2;0;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;2;1;4;1;26;0;1;2;1;1;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;2;4;4;2;32;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;2;3;4;2;31;2;1;2;0;1;0;0;0;0;0;0;0;1;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;4;1;2;2;24;0;1;1;1;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;3;3;2;2;29;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;2;3;4;3;41;0;0;3;0;1;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;1;3;4;1;52;0;1;2;0;1;0;1;1;1;0;1;1;1;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;4;1;2;1;28;0;0;2;0;1;0;1;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;4;1;4;1;24;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1
58;16;3;1940;3;4;5;74.3;33.4;0;2;0;1;2;2;2;2;4;1;28;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1
214;16;2;2034;2;1;2;65.4;1.1;1;2;0;1;2;1;5;1;4;1;44;0;0;1;0;2;2;2;2;2;2;2;2;2;2;1
264;29;1;1955;3;3;5;95.6;38.3;1;2;1;0;2;1;3;4;4;3;56;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1
328;16;2;1724;3;3;4;47.1;34.5;1;2;0;1;2;2;5;1;1;1;28;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1
406;16;2;1862;3;2;4;34.2;16.3;1;1;0;1;2;1;3;2;4;2;32;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1
466;16;3;1889;2;2;3;63.3;2.2;1;2;1;0;2;2;3;1;1;0;27;1;1;3;0;1;1;0;0;0;0;0;0;0;1;1
518;29;2;1686;4;5;5;74.8;50.3;1;1;0;1;2;2;10;3;2;1;27;0;0;3;0;0;0;1;0;0;0;0;0;1;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;4;3;4;2;30;0;0;2;1;0;0;1;0;0;0;0;0;0;1;1
71;8;2;2025;4;5;5;36.9;57;1;1;0;1;2;2;1;2;4;1;28;0;1;3;0;1;1;1;0;1;0;0;0;0;1;1
364;16;2;1893;4;3;5;52.4;46.8;1;1;0;1;2;1;2;4;4;3;33;0;0;2;0;1;1;0;0;0;0;0;0;0;1;1
4;10;2;1818;3;2;4;86;43.9;1;2;0;1;2;1;2;4;4;3;34;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1
5;16;2;1903;3;3;4;79;70;1;1;0;1;2;1;2;2;4;1;30;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1
5;16;2;1903;3;3;4;79;70;0;2;1;0;2;1;4;4;4;0;42;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1
6;16;4;1860;2;2;3;70.5;5.9;1;2;0;1;2;2;4;2;4;2;42;0;1;1;0;2;2;2;2;2;2;2;2;2;2;1
10;17;4;1915;2;3;1;44.3;22.7;1;2;0;1;2;2;1;3;4;1;28;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1
23;31;2;1967;3;4;4;76.9;5.9;0;1;0;1;2;1;2;3;4;3;26;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1
23;31;2;1967;3;4;4;76.9;5.9;1;1;0;1;2;2;1;4;4;2;36;0;1;1;0;2;2;2;2;2;2;2;2;2;2;1
28;29;1;1901;3;4;5;84.2;34.9;1;1;0;1;2;2;1;3;4;1;31;0;1;3;0;1;1;1;1;1;0;0;0;1;1;1
31;16;1;1952;3;3;4;81;42.9;1;1;1;0;2;1;2;1;4;1;34;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1
33;16;1;1932;3;2;4;93.8;10.9;0;2;0;1;2;2;4;1;2;1;28;0;0;1;1;2;2;2;2;2;2;2;2;2;2;1
40;16;2;1941;3;2;3;42;11.5;1;1;1;0;2;1;2;3;4;2;65;0;0;2;0;0;0;1;0;0;0;0;0;1;1;1
43;16;2;1760;3;4;5;16.7;34.9;2;1;1;0;2;2;4;1;1;2;25;1;1;2;0;1;0;1;0;0;0;0;0;0;1;1
43;16;2;1760;3;4;5;16.7;34.9;1;1;0;1;2;2;4;1;4;2;28;0;1;1;0;2;2;2;2;2;2;2;2;2;2;1
43;16;2;1760;3;4;5;16.7;34.9;1;1;0;1;2;1;4;1;4;1;37;0;1;3;0;2;2;2;2;2;2;2;2;2;2;1
503;25;2;1862;2;2;4;58.5;20.5;1;1;1;0;2;1;3;4;4;0;48;2;0;3;0;1;1;1;0;0;0;0;0;0;1;1
54;17;3;2029;3;5;5;22.3;36.1;1;1;1;0;2;1;6;4;4;3;41;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;2;4;4;3;35;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
