;NB;DT;RF;kNN;XGB;SVM;MLP
Seed 1;0.694618704505064;0.558477905570039;0.65905380714045;0.623253845837638;0.710858679118137;0.704057043399621;0.710063049024419
Seed 2;0.693992744070198;0.559046013766829;0.655814001722832;0.614992390779455;0.712904351084527;0.699840230302685;0.705998809930003
Seed 3;0.694327349729211;0.54921663679348;0.656882657630555;0.622087477315317;0.709320797318099;0.698148993679523;0.71067125188244
Seed 4;0.695335413543954;0.578821895764234;0.660228872513348;0.616441735931306;0.714439346150246;0.702340215277643;0.709521098462316
Seed 5;0.695677032622813;0.569451451807188;0.656445551039845;0.618783722141285;0.712074347114256;0.701174405330515;0.706983637324923
Seed 6;0.695119305959415;0.561499552292279;0.653971212655523;0.61119151683056;0.712022090885591;0.700740895503665;0.709586912768633
Seed 7;0.695576003711801;0.577489564482403;0.660620118583023;0.621859356102217;0.712624635178018;0.702010648930979;0.711563195287422
Seed 8;0.694738107501207;0.549425519933385;0.65300864413772;0.618761438800317;0.712632802684813;0.701012831857665;0.7098208887397
Seed 9;0.695073518540988;0.564929896188711;0.650964404077079;0.614211602200536;0.709930829667592;0.700395850378167;0.70653269551196
Seed 10;0.694527888625452;0.563311242893998;0.652915876977115;0.619087969558802;0.711443998307718;0.702653687444803;0.709765498682198
Seed 11;0.694128158945217;0.565492740612512;0.653493313702281;0.61545057605914;0.711723428979218;0.700389650670281;0.708461474242079
Seed 12;0.695049816441182;0.567370029150314;0.650767161636491;0.620581626737393;0.712024793755777;0.70125835048002;0.708197357940781
Seed 13;0.69555998046783;0.561673818747103;0.662817451299071;0.622706026744613;0.710250284642675;0.702263938870964;0.712433776453921
Seed 14;0.693994788439031;0.562127182192289;0.653543932105072;0.621313494406148;0.70979971344741;0.699903912305149;0.707591771510798
Seed 15;0.693795496187848;0.565358751527281;0.651012590975424;0.613486153065918;0.709420743800056;0.702001143376789;0.706949172238661
Seed 16;0.694131766159186;0.573210416965522;0.649884713528218;0.611681414628107;0.712344585638529;0.700671700418464;0.709881640377434
Seed 17;0.694298440537424;0.570579555304222;0.655176825961068;0.619430086968216;0.709895014687267;0.69964073892154;0.711501930727507
Seed 18;0.694050847592467;0.561156584571443;0.653613457741193;0.618563645634157;0.711596790703074;0.698531919343341;0.704055493605082
Seed 19;0.693498620431479;0.557262044993335;0.650711186276558;0.615270344036665;0.710085182548383;0.698920516671507;0.708813990280685
Seed 20;0.693964467423041;0.562017080852812;0.654906671278455;0.620064838930684;0.710942297376668;0.70297225555716;0.711187102887422
Seed 21;0.694019638846922;0.56139084250283;0.659215038312026;0.618165867475702;0.710067906109977;0.699212694549972;0.709509703316487
Seed 22;0.695057551640924;0.557251791413585;0.656613312373913;0.621656517941161;0.713571610543673;0.701960736030953;0.712544838095831
Seed 23;0.694955595944879;0.562821511479526;0.650608377861232;0.617219579457554;0.713064328435625;0.701476910806323;0.709495463477561
Seed 24;0.69498165548338;0.567528854051809;0.658489732926606;0.621641411850786;0.712373581657721;0.701077646276343;0.707668932853916
Seed 25;0.692527013724971;0.569580349907412;0.658397372694217;0.614412218148274;0.709128139297085;0.700705046235424;0.707478987430839
Seed 26;0.693680621700787;0.554625591175199;0.652872190319585;0.622075081752119;0.710262130443445;0.700298402146516;0.707944980338673
Seed 27;0.694222385990897;0.560811309495385;0.65293964187389;0.622497253451247;0.70994107197856;0.700993956504391;0.710149273886922
Seed 28;0.695190532314694;0.562271733304043;0.655787895953434;0.616492618813359;0.711237271309472;0.702645016791736;0.709002296433172
Seed 29;0.695281909947874;0.569110363276039;0.656727165254444;0.619427339937892;0.710884438107643;0.702666373010571;0.711351965399717
Seed 30;0.696891520816049;0.562761650990507;0.659315415511849;0.62298131849866;0.713877411945405;0.703236735252579;0.712816803055199
